product_id,brand,category,subcategory,product_name,size_g,is_organic,origin_state,rating,reviews_count,price,product_text
P0001,PureSpice,Cinnamon,Quills,PureSpice Cinnamon Quills 500g,500,0,Kerala,3.81,30,41.65,"Cinnamon Quills — slow-roasted profile, small-batch crafted, ideal for marinades. Sourced from Kerala. Great for soups. Attributes: organic, non-GMO."
P0002,SpiceMaster,Bay Leaf,Whole,SpiceMaster Organic Bay Leaf Whole 100g,100,1,Uttarakhand,4.55,16,4.62,"Organic Bay Leaf Whole — ideal for marinades, slow-roasted profile, subtle citrus finish. Sourced from Uttarakhand. Great for curries, marinades. Attributes: organic, steam-sterilized."
P0003,KeralaGold,Coriander,Seeds,KeralaGold Coriander Seeds 100g,100,0,Madhya Pradesh,4.37,38,6.59,"Coriander Seeds — subtle citrus finish, earthy aroma. Sourced from Madhya Pradesh. Great for pickles. Attributes: pesticide-free, steam-sterilized."
P0004,DesiKitchen,Cinnamon,Quills,DesiKitchen Cinnamon Quills 200g,200,0,Sri Lanka,4.57,33,16.24,"Cinnamon Quills — stone-ground texture, earthy aroma. Sourced from Sri Lanka. Great for desserts, soups. Attributes: non-GMO."
P0005,SpiceMaster,Turmeric,Powder,SpiceMaster Organic Turmeric Powder 75g,75,1,Kerala,4.52,30,7.0,"Organic Turmeric Powder — earthy aroma, subtle citrus finish, warm, nutty notes. Sourced from Kerala. Great for biryani. Attributes: steam-sterilized, stone-ground."
P0006,RoyalHarvest,Coriander,Seeds,RoyalHarvest Coriander Seeds 500g,500,0,Madhya Pradesh,4.38,6,22.68,"Coriander Seeds — small-batch crafted, bold heat. Sourced from Madhya Pradesh. Great for tadka. Attributes: organic."
P0007,AromaLeaf,Garam Masala,Blend,AromaLeaf Organic Garam Masala Blend 200g,200,1,Punjab,4.88,25,19.41,"Organic Garam Masala Blend — subtle citrus finish, ideal for marinades, warm, nutty notes. Sourced from Punjab. Great for grills, desserts. Attributes: pesticide-free."
P0008,PureSpice,Cinnamon,Powder,PureSpice Cinnamon Powder 100g,100,0,Kerala,4.5,37,11.22,"Cinnamon Powder — warm, nutty notes, earthy aroma. Sourced from Kerala. Great for pickles, grills. Attributes: non-GMO."
P0009,KeralaGold,Fenugreek,Seeds,KeralaGold Fenugreek Seeds 50g,50,0,Rajasthan,3.89,13,3.14,"Fenugreek Seeds — ideal for marinades, handpicked quality, subtle citrus finish. Sourced from Rajasthan. Great for tadka. Attributes: organic, non-GMO."
P0010,PureSpice,Star Anise,Whole,PureSpice Star Anise Whole 100g,100,0,Assam,4.32,12,11.09,"Star Anise Whole — rich color, warm, nutty notes. Sourced from Assam. Great for biryani, desserts. Attributes: stone-ground, organic."
P0011,SpiceMaster,Cardamom,Green Pods,SpiceMaster Cardamom Green Pods 50g,50,0,Kerala,4.01,22,10.38,"Cardamom Green Pods — sun-dried, warm, nutty notes. Sourced from Kerala. Great for marinades, curries. Attributes: pesticide-free."
P0012,PureSpice,Coriander,Powder,PureSpice Coriander Powder 200g,200,0,Madhya Pradesh,4.9,14,10.11,"Coriander Powder — aromatic sweetness, vibrant hue. Sourced from Madhya Pradesh. Great for soups. Attributes: stone-ground, pesticide-free. Note: mild heat."
